,endTime,artistName,trackName,msPlayed
189,2020-10-01 18:20,Kanye West,Lift Yourself,147904
190,2020-10-01 18:24,KYLE,iSpy (feat. Lil Yachty),253106
191,2020-10-01 18:26,Tommy James & The Shondells,I Think We're Alone Now - Single Version,130320
192,2020-10-01 18:30,BØRNS,Electric Love,218106
193,2020-10-01 18:34,Murray Head,One Night in Bangkok,236066
194,2020-10-01 18:37,Hugh Jackman,The Other Side,214373
195,2020-10-01 18:41,blackbear,hot girl bummer,188343
196,2020-10-01 18:43,Jimmy Eat World,The Middle,165853
197,2020-10-01 18:47,Zac Brown Band,Chicken Fried,238146
198,2020-10-01 18:51,Beck,Loser,235000
199,2020-10-01 18:56,Rage Against The Machine,Killing In The Name,313573
200,2020-10-01 18:57,AsapSCIENCE,The Periodic Table Song (2018 Update),4608
201,2020-10-01 19:01,Gotye,Somebody That I Used To Know,244973
202,2020-10-01 19:05,Foster The People,Pumped Up Kicks,239600
203,2020-10-01 19:10,Hugh Jackman,The Greatest Show,302146
204,2020-10-01 19:14,Leslie Odom Jr.,Alexander Hamilton,236737
205,2020-10-01 19:16,Jemaine Clement,Shiny,126832
206,2020-10-01 19:19,Childish Gambino,Bonfire,192946
207,2020-10-01 19:22,Bruno Mars,Treasure,178560
208,2020-10-01 19:24,Christopher Jackson,Cabinet Battle #2,142639
209,2020-10-01 19:25,Kero Kero Bonito,Flamingo,24867
210,2020-10-01 20:39,Queen,Killer Queen,32740
211,2020-10-01 20:43,Hozier,Movement,237800
212,2020-10-01 20:47,Hozier,"Wasteland, Baby!",266466
213,2020-10-01 20:48,Hozier,No Plan,34295
214,2020-10-01 22:32,Arctic Monkeys,Red Light Indicates Doors Are Secured,6230
215,2020-10-01 22:32,Arctic Monkeys,Do I Wanna Know?,272394
216,2020-10-01 22:32,Arctic Monkeys,Do I Wanna Know?,4495
217,2020-10-01 22:32,Arctic Monkeys,R U Mine?,2290
218,2020-10-01 22:32,Arctic Monkeys,Why'd You Only Call Me When You're High?,1520
219,2020-10-01 22:32,Drake Bell,I Found A Way,14310
220,2020-10-01 22:34,Andrew Gold,"Spooky, Scary Skeletons",127626
221,2020-10-01 22:48,Andrew Gold,"Spooky, Scary Skeletons",4403
222,2020-10-02 02:31,C418,Thirteen,690
223,2020-10-02 02:34,Christopher Jackson,Cabinet Battle #1,215226
224,2020-10-02 02:37,Kanye West,Lift Yourself,147904
225,2020-10-02 02:39,AsapSCIENCE,The Periodic Table Song (2018 Update),164072
226,2020-10-02 02:43,"Earth, Wind & Fire",September,215093
227,2020-10-02 02:47,Toby Keith,Red Solo Cup,223386
228,2020-10-02 02:50,Kero Kero Bonito,Flamingo,197528
229,2020-10-02 02:54,Murray Head,One Night in Bangkok,236066
230,2020-10-02 02:59,Hugh Jackman,The Greatest Show,302146
231,2020-10-02 03:03,Beck,Loser,235000
232,2020-10-02 03:52,Foster The People,Pumped Up Kicks,126424
233,2020-10-02 04:16,Dwayne Johnson,You're Welcome,940
234,2020-10-02 04:16,Gotye,Somebody That I Used To Know,2150
235,2020-10-02 04:16,Tommy James & The Shondells,I Think We're Alone Now - Single Version,810
236,2020-10-02 04:16,Hozier,Almost (Sweet Music),3620
237,2020-10-02 04:19,The Lumineers,Classy Girls,165933
238,2020-10-02 04:23,Hozier,Cherry Wine - Live,240146
239,2020-10-02 04:26,The Lumineers,Left For Denver,196653
240,2020-10-02 04:30,The Lumineers,Cleopatra,201413
241,2020-10-02 04:33,The Lumineers,Donna,185973
242,2020-10-02 04:37,Hozier,"Wasteland, Baby!",266466
243,2020-10-02 04:43,Hozier,In the Woods Somewhere,331400
244,2020-10-02 04:46,Hozier,Foreigner's God,225226
245,2020-10-02 04:51,Hozier,Run,254773
246,2020-10-02 04:56,Hozier,No Plan,331013
247,2020-10-02 05:00,Hozier,Work Song,229720
248,2020-10-02 05:03,The Lumineers,Angela,201785
249,2020-10-02 05:08,Hozier,From Eden,283466
250,2020-10-02 05:12,Hozier,To Noise Making (Sing),206920
251,2020-10-02 05:15,The Lumineers,Life In The City,231360
252,2020-10-02 05:19,Hozier,Jackie and Wilson,223120
253,2020-10-02 05:22,The Lumineers,Ophelia,160097
254,2020-10-02 05:26,The Lumineers,Salt And The Sea,270892
255,2020-10-02 05:32,The Lumineers,Leader Of The Landslide,354840
256,2020-10-02 05:36,The Lumineers,Dead Sea,247933
257,2020-10-02 05:39,The Lumineers,Ho Hey,163133
258,2020-10-02 05:43,Hozier,Nina Cried Power (feat. Mavis Staples),225306
259,2020-10-02 05:47,The Lumineers,It Wasn't Easy To Be Happy For You,214066
260,2020-10-02 05:52,The Lumineers,Slow It Down,307000
261,2020-10-02 05:56,Hozier,Movement,237800
262,2020-10-02 06:00,The Lumineers,Stubborn Love,279000
263,2020-10-02 06:05,The Lumineers,Ain't Nobody's Problem,296360
264,2020-10-02 06:09,Hozier,Angel of Small Death and the Codeine Scene,219213
265,2020-10-02 06:12,The Lumineers,Walls,199118
266,2020-10-02 06:16,Hozier,Someone New,222813
267,2020-10-02 06:19,The Lumineers,Gale Song,193720
268,2020-10-02 06:23,The Lumineers,Sleep On The Floor,211851
269,2020-10-02 06:29,The Lumineers,Jimmy Sparks,355986
270,2020-10-02 06:30,Hozier,Take Me to Church,65874
271,2020-10-02 06:45,The Lumineers,Sleep On The Floor,211851
272,2020-10-02 06:50,The Lumineers,Slow It Down,307000
273,2020-10-02 06:53,The Lumineers,Angela,201785
274,2020-10-02 06:56,The Lumineers,Salt And The Sea,134667
275,2020-10-03 20:43,Hozier,To Noise Making (Sing),576
276,2020-10-03 20:43,The Lumineers,Life In The City,533
277,2020-10-03 20:43,The Lumineers,Salt And The Sea,5930
278,2020-10-03 20:43,Hozier,Nina Cried Power (feat. Mavis Staples),5760
279,2020-10-03 20:47,The Lumineers,Walls,199118
280,2020-10-03 20:50,The Lumineers,Donna,185973
281,2020-10-03 20:52,Hozier,To Noise Making (Sing),1045
282,2020-10-03 20:52,Hozier,From Eden,1045
283,2020-10-03 20:52,The Lumineers,It Wasn't Easy To Be Happy For You,110164
284,2020-10-03 20:52,The Lumineers,Ain't Nobody's Problem,4671
285,2020-10-03 20:52,The Lumineers,Left For Denver,575
286,2020-10-03 20:52,Hozier,In the Woods Somewhere,1130
287,2020-10-03 20:52,Hozier,Like Real People Do,618
288,2020-10-03 20:52,The Lumineers,Gloria,746
289,2020-10-03 20:52,Hozier,Work Song,640
290,2020-10-03 20:52,The Lumineers,Gale Song,960
291,2020-10-03 20:52,Hozier,Foreigner's God,618
292,2020-10-03 20:52,Hozier,Run,661
293,2020-10-03 20:52,The Lumineers,Angela,1365
294,2020-10-03 20:56,The Lumineers,Stubborn Love,279000
295,2020-10-03 20:58,Hozier,Cherry Wine - Live,100766
296,2020-10-03 21:01,The Lumineers,Dead Sea,145066
297,2020-10-03 23:26,The Oh Hellos,Hello My Old Heart,1563
298,2020-10-03 23:26,The Oh Hellos,Hello My Old Heart,256006
299,2020-10-03 23:29,Hozier,Foreigner's God,225226
300,2020-10-03 23:33,Hozier,Angel of Small Death and the Codeine Scene,219213
301,2020-10-03 23:36,The Lumineers,Cleopatra,201413
302,2020-10-03 23:41,The Lumineers,Stubborn Love,279000
303,2020-10-03 23:46,The Lumineers,Salt And The Sea,270892
304,2020-10-03 23:49,The Lumineers,It Wasn't Easy To Be Happy For You,214066
305,2020-10-03 23:53,Hozier,"Wasteland, Baby!",240377
306,2020-10-04 23:56,The Lumineers,Walls,199118
307,2020-10-04 23:59,The Lumineers,Ophelia,160097
308,2020-10-05 00:02,The Lumineers,Left For Denver,196653
309,2020-10-05 00:08,The Lumineers,Jimmy Sparks,355986
